short_name,vote_id,bill_id,fz_number,date,kind,descr,total_for,total_against,total_abstain,total_absent,ER_for,ER_against,ER_abstain,ER_absent,KPRF_for,KPRF_against,KPRF_abstain,KPRF_absent,LDPR_for,LDPR_against,LDPR_abstain,LDPR_absent,SR_for,SR_against,SR_abstain,SR_absent,NL_for,NL_against,NL_abstain,NL_absent,individual_dissidents,dissident_count,tactical_absent,tactical_absent_count,tactical_absent_count_total
sov-runet,107479,608767-7,ФЗ-90,2019-04-16 11:23:38,цифровые свободы,Суверенный Рунет,307,68,0,75,302,0,0,37,0,33,0,10,1,32,0,6,3,2,0,18,0,0,0,0,Луговой Андрей (ЛДПР: for vs maj against),1,Агаев Ваха (КПРФ); Арефьев Николай (КПРФ); Бифов Анатолий (КПРФ); Волков Юрий (ЛДПР); Гаврилов Сергей (КПРФ); Диденко Алексей (ЛДПР); Дорохин Павел (КПРФ); Катасонов Сергей (ЛДПР); Корниенко Алексей (КПРФ); Лебедев Игорь (ЛДПР); Некрасов Александр (КПРФ); Поздняков Владимир (КПРФ); Тайсаев Казбек (КПРФ); Шерин Александр (ЛДПР); Шилков Данил (ЛДПР); Ющенко Александр (КПРФ),16,53
klishas-fakes,107127,606593-7,ФЗ-31,2019-03-07 10:57:51,цифровые свободы,Пакет Клишаса (фейки),322,78,0,50,318,0,0,22,0,40,0,2,0,37,0,2,4,1,0,18,0,0,0,0,,0,Лебедев Игорь (ЛДПР); Некрасов Александр (КПРФ); Смолин Олег (КПРФ); Старовойтов Александр (ЛДПР),4,26
klishas-disrespect,107129,606594-7,ФЗ-30,2019-03-07 11:17:23,цифровые свободы,Пакет Клишаса (неуважение к власти),327,40,1,82,323,0,0,17,1,38,1,2,0,1,0,38,3,1,0,19,0,0,0,0,Савицкая Светлана (КПРФ: abstain vs maj against); Харитонов Николай (КПРФ: for vs maj against),2,Синельщиков Юрий (КПРФ); Смолин Олег (КПРФ),2,19
inoagent-fizlitsa,113228,1057914-7,ФЗ-481,2020-12-23 10:43:52,иноагенты,Иноагенты-физлица,389,1,0,60,305,0,0,30,30,0,0,12,36,1,0,3,17,0,0,6,0,0,0,0,Иванов Сергей (ЛДПР: against vs maj for),1,Афонин Юрий (КПРФ); Газзаев Валерий (СРЗП); Езерский Николай (КПРФ); Иванов Николай (КПРФ); Корниенко Алексей (КПРФ); Кравец Александр (КПРФ); Кумин Вадим (КПРФ); Курбанов Ризван (КПРФ); Куринный Алексей (КПРФ); Лебедев Игорь (ЛДПР); Маринин Сергей (ЛДПР); Моляков Игорь (СРЗП); Напсо Юрий (ЛДПР); Пантелеев Сергей (КПРФ); Плетнева Тамара (КПРФ); Ремезков Александр (СРЗП); Савицкая Светлана (КПРФ); Смолин Олег (КПРФ); Терентьев Александр (СРЗП); Тумусов Федот (СРЗП); Шеин Олег (СРЗП),21,51
it-landing,115415,1176731-7,ФЗ-236,2021-06-17 11:27:37,цифровые свободы,Приземление иностранных IT,328,1,0,121,304,0,0,31,0,0,0,43,2,1,0,37,21,0,0,2,0,0,0,0,,0,Ионин Дмитрий (СРЗП); Хованская Галина (СРЗП),2,33
army-fakes,117350,464757-7,ФЗ-32,2022-03-04 10:20:52,военные,Фейки об армии (УК 207.3),401,0,0,49,306,0,0,19,40,0,0,17,20,0,0,3,24,0,0,4,11,0,0,4,,0,Авксентьева Сардана (НЛ); Алехин Андрей (КПРФ); Алимова Ольга (КПРФ); Блоцкий Владимир (КПРФ); Гартунг Валерий (СРЗП); Горячева Ксения (НЛ); Грешневиков Анатолий (СРЗП); Езерский Николай (КПРФ); Жириновский Владимир (ЛДПР); Журавлев Алексей (ЛДПР); Иванюженков Борис (КПРФ); Калашников Леонид (КПРФ); Каргинов Сергей (ЛДПР); Кузнецов Дмитрий (СРЗП); Леонов Олег (НЛ); Мархаев Вячеслав (КПРФ); Матвеев Михаил (КПРФ); Михайлов Олег (КПРФ); Обухов Сергей (КПРФ); Пантелеев Сергей (КПРФ); Парфенов Денис (КПРФ); Певцов Дмитрий (НЛ); Прокофьев Артём (КПРФ); Рашкин Валерий (КПРФ); Ремезков Александр (СРЗП); Смолин Олег (КПРФ); Филатова Ирина (КПРФ); Шаргунов Сергей (КПРФ),28,47
inoagent-united,118599,113045-8,ФЗ-255,2022-06-29 13:32:53,иноагенты,Единый закон об иноагентах,331,5,11,103,284,0,0,41,0,4,1,51,20,0,0,3,24,0,0,4,3,0,10,2,Ткачёв Антон (НЛ: for vs maj abstain); Чемерис Роза (НЛ: for vs maj abstain); Шилкин Григорий (НЛ: for vs maj abstain),3,Авксентьева Сардана (НЛ); Белоусов Вадим (СРЗП); Гартунг Валерий (СРЗП); Кабышев Сергей (СРЗП); Луговой Андрей (ЛДПР); Певцов Дмитрий (НЛ); Свищев Дмитрий (ЛДПР); Чепа Алексей (СРЗП); Чернышов Борис (ЛДПР),9,50
digital-ruble-1,123266,270838-8,ФЗ-339,2023-07-11 16:52:41,цифровые свободы,Цифровой рубль ч.1 (банковский),385,0,1,64,293,0,0,28,48,0,1,8,14,0,0,8,19,0,0,9,11,0,0,4,Корниенко Алексей (КПРФ: abstain vs maj for),1,Авксентьева Сардана (НЛ); Алимова Ольга (КПРФ); Бабаков Александр (СРЗП); Белоусов Вадим (СРЗП); Блоцкий Владимир (КПРФ); Власов Василий (ЛДПР); Гартунг Валерий (СРЗП); Гусев Дмитрий (СРЗП); Каноков Тимур (СРЗП); Кузнецов Дмитрий (СРЗП); Куринный Алексей (КПРФ); Лисицын Анатолий (СРЗП); Михайлов Олег (КПРФ); Мусатов Иван (ЛДПР); Напсо Юрий (ЛДПР); Наумов Станислав (ЛДПР); Обухов Сергей (КПРФ); Певцов Дмитрий (НЛ); Ремезков Александр (СРЗП); Свинцов Андрей (ЛДПР); Семигин Геннадий (СРЗП); Сипягин Владимир (ЛДПР); Сухарев Иван (ЛДПР); Филатова Ирина (КПРФ); Чемерис Роза (НЛ); Чернышов Борис (ЛДПР); Шаргунов Сергей (КПРФ); Шилкин Григорий (НЛ); Щапов Михаил (КПРФ),29,57
digital-ruble-2,123339,270852-8,ФЗ-340,2023-07-13 13:17:03,цифровые свободы,Цифровой рубль ч.2 (ГК),391,0,0,59,286,0,0,35,51,0,0,6,17,0,0,5,24,0,0,4,12,0,0,3,,0,Авксентьева Сардана (НЛ); Алимова Ольга (КПРФ); Бабаков Александр (СРЗП); Белоусов Вадим (СРЗП); Блоцкий Владимир (КПРФ); Бурляев Николай (СРЗП); Власов Василий (ЛДПР); Кузнецов Дмитрий (СРЗП); Мусатов Иван (ЛДПР); Напсо Юрий (ЛДПР); Обухов Сергей (КПРФ); Певцов Дмитрий (НЛ); Селезнев Валерий (ЛДПР); Смолин Олег (КПРФ); Соболев Виктор (КПРФ); Сухарев Иван (ЛДПР); Шаргунов Сергей (КПРФ); Шилкин Григорий (НЛ),18,53
rec-algorithms,123895,387593-8,ФЗ-408,2023-07-26 13:04:53,цифровые свободы,Регулирование рекомендательных алгоритмов,346,8,1,95,298,0,0,23,0,8,0,49,17,0,1,4,18,0,0,10,13,0,0,2,Власов Василий (ЛДПР: abstain vs maj for),1,Авксентьева Сардана (НЛ); Бабаков Александр (СРЗП); Белоусов Вадим (СРЗП); Гартунг Валерий (СРЗП); Гусев Дмитрий (СРЗП); Драпеко Елена (СРЗП); Кузнецов Дмитрий (СРЗП); Миронов Сергей (СРЗП); Мусатов Иван (ЛДПР); Напсо Юрий (ЛДПР); Новичков Николай (СРЗП); Ремезков Александр (СРЗП); Свищев Дмитрий (ЛДПР); Сухарев Иван (ЛДПР); Тарбаев Сангаджи (НЛ); Чепа Алексей (СРЗП),16,39
