15901,"DUKUZOV, Kazbek","individual","MAGNIT",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1974; POB Urus-Martan District, Chechen Republic, Russia."
16659,"KLISHAS, Andrey Aleksandrovich","individual","UKRAINE-EO13661] [RUSSIA-EO14024","Member of the Federation Council of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 09 Nov 1972; POB Yekaterinburg, Sverdlovsk, Russia; nationality Russia; Gender Male; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the Federation Council of the Federal Assembly of the Russian Federation."
16662,"SLUTSKY, Leonid Eduardovich","individual","UKRAINE-EO13661] [RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 04 Jan 1968; POB Moscow, Russia; nationality Russia; Gender Male; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
16670,"MIRONOV, Sergey Mikhailovich","individual","UKRAINE-EO13661] [RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 14 Feb 1953; POB Pushkin, St. Petersburg, Russia; nationality Russia; Gender Male; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
16911,"JOINT STOCK COMPANY CONCERN KALASHNIKOV",-0- ,"UKRAINE-EO13661] [RUSSIA-EO14024",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Tax ID No. 1832090230 (Russia); Registration Number 1111832003018 (Russia)."
18307,"KOLBIN, Petr","individual","UKRAINE-EO13661",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 02 Jan 1952; POB Russia; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209."
18313,"BULYUTIN, Andrey","individual","UKRAINE-EO13661","Business Development Manager at Kalashnikov Concern",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 19 Oct 1979; POB Izhevsk, Russia; citizen Russia; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Passport 515356705 (Russia); Business Development Manager at Kalashnikov Concern."
18314,"OMELCHENKO, Aleksander","individual","UKRAINE-EO13661","Chief Export Officer for Kalashnikov Concern",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 08 Sep 1983; POB Moscow, Russia; citizen Russia; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Passport 721937258 (Russia); National ID No. 4598338396 (Russia); alt. National ID No. 4506978162 (Russia); Chief Export Officer for Kalashnikov Concern."
18657,"IOFFE, Eduard A","individual","UKRAINE-EO13661","Deputy General Director for Commercial Affairs at Kalashnikov Concern and Izhevsky Mekhanichesky Zavod JSC",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 07 Jun 1970; nationality Russia; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Passport 713023636 (Russia) expires 20 Jan 2021; Deputy General Director for Commercial Affairs at Kalashnikov Concern and Izhevsky Mekhanichesky Zavod JSC; Linked To: JOINT STOCK COMPANY CONCERN KALASHNIKOV; Linked To: IZHEVSKY MEKHANICHESKY ZAVOD JSC."
18658,"KARAMYAN, Vakhtang","individual","UKRAINE-EO13661","Middle East Business Development Director at Kalashnikov Concern",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 19 Apr 1991; nationality Russia; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Passport 727409284 (Russia) expires 28 Mar 2023; Middle East Business Development Director at Kalashnikov Concern; Linked To: JOINT STOCK COMPANY CONCERN KALASHNIKOV."
21184,"LUGOVOY, Andrey Konstantinovich","individual","MAGNIT] [RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 19 Sep 1966; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
22204,"MELNIKOV, Andrei Gennadyevich","individual","UKRAINE-EO13660] [RUSSIA-EO14024",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 03 Sep 1969; POB Moscow, Russia; nationality Russia; Gender Male; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024."
22404,"VOROBEV, Aleksandr Nikolayevich","individual","UKRAINE-EO13661",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 13 Mar 1970; POB Gavrilov Yam, Russia; nationality Russia; Gender Male; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Passport 754116204 (Russia) expires 29 Dec 2026."
22406,"MOLOT-ORUZHIE, OOO",-0- ,"UKRAINE-EO13661",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1094307000633 (Russia); Tax ID No. 4307012765 (Russia); Government Gazette Number 60615883 (Russia); Linked To: JOINT STOCK COMPANY CONCERN KALASHNIKOV."
23544,"KOLOSOV, Bogdan Valeryevich","individual","UKRAINE-EO13661",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 06 May 1985; Gender Male; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Linked To: JOINT STOCK COMPANY CONCERN KALASHNIKOV."
31252,"KALASHNIKOV, Alexander Petrovich","individual","UKRAINE-EO13661",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 27 Jan 1964; POB Tatarsk, Novosibirsk Region, Russia; nationality Russia; Gender Male; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209."
35219,"AFONIN, Yuriy Vyacheslavovich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 22 Mar 1977; POB Tula, Russia; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
35223,"KALASHNIKOV, Leonid Ivanovich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 06 Aug 1960; POB Stepnoy Dvorets, Russia; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
35225,"KASHIN, Vladimir Ivanovich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 10 Aug 1948; POB Nazarevo, Ryazan Region, Russia; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
35232,"MELNIKOV, Ivan Ivanovich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 07 Aug 1950; POB Bogoroditsk, Russia; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
35237,"TAYSAEV, Kazbek Kutsukovich","individual","RUSSIA-EO14024","Member of the State Duma of the Federal Assembly of the Russian Federation",-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 12 Feb 1967; POB Chikola, North Ossetia, Russia; nationality Russia; Gender Male; Secondary sanctions risk: See Section 11 of Executive Order 14024.; Member of the State Duma of the Federal Assembly of the Russian Federation."
